epoch,loss,acc,val_loss,val_acc
1,0.790242,0.713880,1.819446,0.248438
2,0.323979,0.883117,3.710176,0.248438
3,0.238535,0.914773,5.406561,0.248438
4,0.179513,0.936688,6.320459,0.248438
5,0.146876,0.949675,5.468795,0.271875
6,0.104000,0.963474,4.934508,0.353125
7,0.092254,0.969562,1.491500,0.625000
8,0.072224,0.976055,3.418506,0.404687
9,0.074102,0.973620,2.282320,0.606250
10,0.057324,0.979302,0.241722,0.928125
11,0.045362,0.985390,0.133293,0.953125
12,0.034863,0.990666,0.624973,0.834375
13,0.036685,0.986201,2.257276,0.595313
14,0.033683,0.990666,1.904885,0.600000
15,0.019626,0.993506,5.168235,0.442188
16,0.015910,0.995130,0.362745,0.900000
17,0.017862,0.993506,1.543158,0.756250
18,0.016546,0.994318,0.128829,0.956250
19,0.016748,0.993912,0.438813,0.889062
20,0.010321,0.997565,2.563087,0.650000
21,0.010336,0.995942,0.217169,0.939063
22,0.008017,0.998782,0.626560,0.879687
23,0.005719,0.998377,0.551025,0.878125
24,0.006265,0.998782,1.158980,0.779687
25,0.004843,0.998782,0.691709,0.850000
26,0.003360,0.998782,0.117397,0.971875
27,0.003311,0.998782,0.349126,0.907813
28,0.003882,0.998377,0.119946,0.973437
29,0.002846,0.998782,0.218355,0.954688
30,0.001337,1.000000,0.199676,0.957812
31,0.000718,1.000000,0.165506,0.965625
32,0.000786,1.000000,0.639247,0.887500
33,0.000920,0.999594,0.580310,0.900000
34,0.000877,0.999594,0.433465,0.915625
35,0.006367,0.996753,0.279434,0.946875
36,0.000983,1.000000,0.226708,0.950000
37,0.000526,1.000000,0.190139,0.964063
38,0.000300,1.000000,0.105005,0.971875
39,0.000599,1.000000,0.239359,0.956250
40,0.000526,1.000000,0.195801,0.965625
41,0.000332,1.000000,0.086836,0.981250
42,0.000214,1.000000,0.261838,0.951562
43,0.000279,1.000000,0.293730,0.950000
44,0.000316,1.000000,0.141794,0.970313
45,0.000189,1.000000,0.162714,0.970313
46,0.000256,1.000000,0.175381,0.968750
47,0.000220,1.000000,0.206230,0.960938
48,0.000468,1.000000,0.201275,0.964063
49,0.000385,1.000000,0.194615,0.964063
50,0.019491,0.994724,1.702359,0.750000
51,0.034253,0.989042,0.420017,0.907813
52,0.025393,0.991071,1.454835,0.812500
53,0.023504,0.991477,7.218049,0.406250
54,0.026599,0.990260,7.653393,0.429688
55,0.021931,0.992289,4.485717,0.514062
56,0.012652,0.995536,1.368129,0.754687
57,0.020574,0.993912,1.624149,0.678125
58,0.016326,0.994318,0.997928,0.843750
59,0.016133,0.993506,0.422750,0.912500
60,0.014113,0.995942,11.021712,0.431250
61,0.013803,0.995536,2.150439,0.701562
62,0.014383,0.995942,0.314893,0.937500
63,0.016745,0.996753,1.589372,0.746875
64,0.015484,0.993506,3.190714,0.592187
65,0.007268,0.998377,5.236363,0.495312
66,0.007161,0.997159,0.841819,0.868750
67,0.012698,0.995130,0.637385,0.865625
68,0.008249,0.997565,0.528647,0.910937
69,0.009634,0.998377,0.556776,0.901563
70,0.003075,0.999188,2.733396,0.693750
71,0.004958,0.998377,3.746127,0.553125
72,0.007542,0.997971,0.258559,0.951562
73,0.006813,0.997971,0.463911,0.915625
74,0.002073,0.998782,0.698924,0.889062
75,0.004475,0.997971,7.476052,0.403125
76,0.004332,0.998377,1.620322,0.798438
77,0.001434,0.999594,0.251079,0.954688
78,0.003092,0.998782,0.820225,0.853125
79,0.010693,0.995130,0.153527,0.968750
80,0.002236,0.999188,1.585024,0.815625
81,0.001460,0.999188,0.159754,0.968750
82,0.001934,0.999188,0.433969,0.920312
83,0.002990,0.999188,3.914776,0.670312
84,0.003088,0.998782,0.197518,0.962500
85,0.002818,0.999594,1.030447,0.873437
86,0.001387,0.999594,0.431848,0.943750
87,0.000199,1.000000,4.614214,0.606250
88,0.000599,0.999594,1.416796,0.829688
89,0.000358,1.000000,0.241882,0.942187
90,0.000181,1.000000,0.113464,0.973437
91,0.000091,1.000000,0.139835,0.975000
92,0.000127,1.000000,0.572621,0.907813
93,0.000263,1.000000,0.813089,0.900000
94,0.000642,1.000000,0.196723,0.965625
95,0.000086,1.000000,0.463227,0.926562
96,0.000100,1.000000,0.420178,0.946875
97,0.000078,1.000000,0.215924,0.965625
98,0.000052,1.000000,0.124271,0.978125
99,0.000019,1.000000,0.127825,0.973437
100,0.000016,1.000000,0.081643,0.979688
101,0.000031,1.000000,0.218368,0.957812
102,0.000198,1.000000,0.183246,0.964063
103,0.000141,1.000000,0.268276,0.967187
104,0.000011,1.000000,0.199088,0.971875
105,0.000103,1.000000,0.242145,0.970313
106,0.000040,1.000000,0.116695,0.975000
107,0.000008,1.000000,0.213208,0.965625
108,0.000308,0.999594,0.125835,0.976562
109,0.000033,1.000000,0.178256,0.968750
110,0.000006,1.000000,0.124776,0.976562
111,0.000106,1.000000,0.149236,0.978125
112,0.000010,1.000000,0.156366,0.976562
113,0.000006,1.000000,0.145896,0.975000
114,0.000080,1.000000,0.117303,0.981250
115,0.000006,1.000000,0.123676,0.981250
116,0.000006,1.000000,0.132496,0.978125
117,0.000004,1.000000,0.144703,0.973437
118,0.000003,1.000000,0.167219,0.973437
119,0.000006,1.000000,0.157941,0.976562
120,0.000002,1.000000,0.139050,0.976562
121,0.000007,1.000000,0.142526,0.978125
122,0.000028,1.000000,0.137976,0.978125
123,0.000004,1.000000,0.135051,0.979688
124,0.006556,0.997565,0.642931,0.929688
125,0.027636,0.993101,6.835456,0.462500
126,0.025991,0.993912,8.148076,0.373437
127,0.035217,0.991071,0.641011,0.881250
128,0.029394,0.989042,1.641761,0.754687
129,0.022851,0.991071,1.838613,0.789062
130,0.023166,0.993912,3.799130,0.645312
131,0.028017,0.991477,7.945591,0.498437
132,0.030261,0.991883,2.597867,0.690625
133,0.032600,0.991477,0.830315,0.878125
134,0.018372,0.994318,1.000577,0.845313
135,0.017705,0.993912,0.357357,0.929688
136,0.034971,0.989854,3.194424,0.665625
137,0.012017,0.996753,4.553213,0.595313
138,0.014205,0.996753,4.977098,0.596875
139,0.012313,0.996347,0.785069,0.887500
140,0.004304,0.998377,14.669715,0.259375
141,0.006899,0.997565,0.686655,0.896875
142,0.008580,0.996753,10.371914,0.376563
143,0.011305,0.995942,0.363383,0.945312
144,0.010000,0.997565,1.349708,0.839063
145,0.009564,0.996753,1.447105,0.804688
146,0.005645,0.997565,20.075294,0.282813
147,0.011752,0.995942,0.916950,0.882812
148,0.007591,0.997565,3.972485,0.615625
149,0.006750,0.997159,6.549671,0.504687
150,0.006180,0.998782,4.853248,0.575000
151,0.007994,0.997159,0.965758,0.881250
152,0.002852,0.999188,1.096281,0.857812
153,0.001656,0.999594,9.116545,0.381250
154,0.007354,0.996347,1.280856,0.853125
155,0.003556,0.999188,0.320089,0.950000
156,0.001742,0.999594,1.205650,0.846875
157,0.006880,0.998377,0.375476,0.942187
158,0.003428,0.998782,2.316929,0.751563
159,0.006699,0.998377,6.087791,0.475000
160,0.001446,0.999188,0.075638,0.985938
161,0.000391,1.000000,0.232196,0.956250
162,0.003021,0.999188,0.607809,0.921875
163,0.004393,0.998377,1.553006,0.834375
164,0.001301,0.999594,3.985677,0.585938
165,0.001115,0.999188,0.234686,0.965625
166,0.000395,1.000000,0.397808,0.954688
167,0.000861,0.999594,0.598737,0.920312
168,0.000506,1.000000,0.433893,0.937500
169,0.007734,0.998377,2.931594,0.710938
170,0.000610,0.999594,2.393659,0.800000
171,0.000309,1.000000,0.796631,0.903125
172,0.000229,1.000000,1.780518,0.839063
173,0.000119,1.000000,1.442686,0.826562
174,0.000559,1.000000,1.346640,0.837500
175,0.000116,1.000000,1.739579,0.798438
176,0.000571,1.000000,0.505862,0.934375
177,0.000237,1.000000,0.190248,0.970313
178,0.000523,0.999594,1.871127,0.796875
179,0.000147,1.000000,0.800770,0.907813
180,0.003008,0.999188,0.392628,0.951562
181,0.000049,1.000000,0.204094,0.975000
182,0.003002,0.999188,2.060185,0.825000
183,0.000039,1.000000,0.497363,0.923438
184,0.000240,1.000000,0.131612,0.975000
185,0.000069,1.000000,0.726825,0.921875
186,0.000027,1.000000,0.154555,0.970313
187,0.000003,1.000000,0.272729,0.950000
188,0.000051,1.000000,0.612353,0.909375
189,0.000036,1.000000,0.266644,0.970313
190,0.000014,1.000000,0.414942,0.937500
191,0.000057,1.000000,0.220048,0.967187
192,0.000013,1.000000,0.509881,0.932813
193,0.000004,1.000000,0.099696,0.979688
194,0.000007,1.000000,1.332690,0.870313
195,0.000006,1.000000,0.482109,0.932813
196,0.000002,1.000000,0.164977,0.979688
197,0.000003,1.000000,0.104094,0.978125
198,0.000001,1.000000,0.139281,0.971875
199,0.000472,0.999594,0.135387,0.976562
200,0.000006,1.000000,0.122962,0.981250
201,0.000001,1.000000,0.137596,0.984375
202,0.000006,1.000000,0.198878,0.976562
203,0.000001,1.000000,0.119507,0.979688
204,0.000001,1.000000,0.207627,0.970313
205,0.000001,1.000000,0.102808,0.979688
206,0.000002,1.000000,0.142366,0.979688
207,0.000013,1.000000,0.083065,0.985938
208,0.000000,1.000000,0.176485,0.976562
209,0.000000,1.000000,0.302765,0.956250
210,0.000001,1.000000,0.121897,0.976562
211,0.000001,1.000000,0.116126,0.984375
212,0.000001,1.000000,0.109256,0.981250
213,0.000000,1.000000,0.165290,0.970313
214,0.000001,1.000000,0.182592,0.970313
215,0.000434,0.999594,0.267155,0.960938
216,0.000000,1.000000,0.158500,0.970313
217,0.000000,1.000000,0.086083,0.987500
218,0.000001,1.000000,0.074623,0.982812
219,0.000001,1.000000,0.088797,0.987500
220,0.000000,1.000000,0.083441,0.987500
221,0.000000,1.000000,0.076610,0.985938
222,0.000001,1.000000,0.074097,0.987500
223,0.000001,1.000000,0.090961,0.987500
224,0.000005,1.000000,0.087272,0.987500
225,0.000000,1.000000,0.087725,0.987500
226,0.000000,1.000000,0.077572,0.987500
227,0.000000,1.000000,0.080045,0.987500
228,0.000001,1.000000,0.076972,0.987500
229,0.000001,1.000000,0.080325,0.987500
230,0.000000,1.000000,0.079314,0.985938
231,0.000001,1.000000,0.076750,0.989062
232,0.000000,1.000000,0.077172,0.985938
233,0.000006,1.000000,0.077490,0.985938
234,0.000000,1.000000,0.079371,0.987500
235,0.000133,1.000000,7.688356,0.595313
236,0.032945,0.991883,3.975190,0.726562
237,0.045108,0.989042,4.244736,0.717187
238,0.013285,0.995130,4.875442,0.557813
239,0.018369,0.995536,0.227034,0.964063
240,0.017701,0.995536,3.094955,0.709375
241,0.034462,0.992695,7.984741,0.540625
242,0.011915,0.996753,15.107063,0.473438
243,0.026287,0.993912,9.673540,0.440625
244,0.028323,0.993101,2.660882,0.692187
245,0.025232,0.993912,26.362437,0.251563
246,0.022670,0.994318,2.143023,0.801562
247,0.014629,0.996347,3.052590,0.685937
248,0.024766,0.995130,7.501086,0.468750
249,0.013034,0.995130,1.686323,0.798438
250,0.007232,0.998377,0.914342,0.912500
251,0.010585,0.997971,2.076779,0.826562
252,0.005312,0.998782,11.750991,0.326562
253,0.024113,0.995536,1.189738,0.881250
254,0.004899,0.997159,17.327975,0.353125
255,0.019151,0.995942,12.224873,0.359375
256,0.020744,0.995942,9.385898,0.400000
257,0.012912,0.996753,13.948541,0.312500
258,0.005786,0.997971,11.074797,0.650000
259,0.011887,0.995942,0.344188,0.945312
260,0.006734,0.996753,0.584270,0.940625
261,0.009548,0.995942,3.072578,0.765625
262,0.019142,0.995536,7.543021,0.484375
263,0.020665,0.994318,5.013717,0.671875
264,0.007621,0.997565,3.698626,0.671875
265,0.001070,0.999594,0.369441,0.942187
266,0.004213,0.997565,4.413052,0.656250
267,0.008647,0.997971,5.609111,0.601562
268,0.010869,0.996347,1.865780,0.810937
269,0.002391,0.998377,0.441109,0.937500
270,0.001572,0.999594,1.284764,0.818750
271,0.003883,0.998782,0.368463,0.942187
272,0.001577,0.999594,2.922232,0.746875
273,0.004735,0.998377,3.320454,0.675000
274,0.011502,0.997159,0.460100,0.928125
275,0.001905,0.999188,7.361416,0.573438
276,0.009129,0.997971,14.197582,0.365625
277,0.003721,0.999594,3.195697,0.715625
278,0.004677,0.997565,1.528423,0.825000
279,0.006632,0.997565,4.901322,0.607812
280,0.002983,0.998782,5.760601,0.642188
281,0.000959,0.999594,0.437984,0.940625
282,0.010662,0.997565,5.973416,0.618750
283,0.003215,0.999188,0.474346,0.948438
284,0.001377,0.999188,1.269116,0.873437
285,0.002988,0.998782,0.457153,0.934375
286,0.000339,1.000000,0.819301,0.915625
287,0.001348,0.998782,0.634510,0.942187
288,0.002849,0.999188,3.861252,0.771875
289,0.001341,0.999188,0.867125,0.900000
290,0.002527,0.999594,2.076729,0.803125
291,0.000288,1.000000,0.851784,0.918750
292,0.000283,1.000000,1.941742,0.809375
293,0.001012,0.999594,0.543742,0.943750
294,0.000879,0.999188,0.452103,0.943750
295,0.000224,1.000000,0.503568,0.940625
296,0.002360,0.999594,0.206149,0.971875
297,0.001687,0.999594,1.917299,0.823438
298,0.000782,0.999594,0.769614,0.915625
299,0.002298,0.999188,0.989978,0.920312
300,0.000219,1.000000,3.228516,0.750000
301,0.002645,0.999594,2.638838,0.778125
302,0.000050,1.000000,1.145602,0.898438
303,0.002223,0.999594,3.088518,0.757812
304,0.000286,1.000000,1.004453,0.860938
305,0.000602,0.999594,0.593577,0.948438
306,0.000308,0.999594,9.522629,0.496875
307,0.001974,0.999188,1.806889,0.817187
308,0.002572,0.999188,1.505371,0.856250
309,0.000175,1.000000,1.793097,0.845313
310,0.000296,1.000000,0.725400,0.910937
311,0.000463,0.999594,0.359888,0.953125
312,0.000007,1.000000,0.092297,0.984375
313,0.002162,0.999188,3.076279,0.768750
314,0.000026,1.000000,1.366040,0.875000
315,0.000022,1.000000,0.828356,0.906250
316,0.001240,0.999594,0.526382,0.939063
317,0.000030,1.000000,0.557125,0.942187
318,0.000050,1.000000,0.149410,0.981250
319,0.002760,0.998782,0.722120,0.909375
320,0.001038,0.999594,0.216723,0.973437
321,0.000338,0.999594,0.253182,0.962500
322,0.001131,0.999594,0.095937,0.987500
323,0.000002,1.000000,0.258570,0.962500
324,0.000001,1.000000,0.805800,0.904687
325,0.000012,1.000000,0.128390,0.979688
326,0.000016,1.000000,0.216762,0.975000
327,0.000262,1.000000,0.355774,0.957812
328,0.000002,1.000000,0.204516,0.981250
329,0.000007,1.000000,0.875991,0.917188
330,0.000001,1.000000,1.298631,0.903125
331,0.000025,1.000000,0.210920,0.978125
332,0.000002,1.000000,0.284538,0.962500
333,0.000003,1.000000,0.393641,0.950000
334,0.000001,1.000000,5.364486,0.653125
335,0.000056,1.000000,0.100319,0.981250
336,0.000007,1.000000,0.149183,0.979688
337,0.000003,1.000000,1.045374,0.903125
338,0.000005,1.000000,0.200453,0.973437
339,0.000005,1.000000,0.097818,0.984375
340,0.000000,1.000000,0.120256,0.981250
341,0.000003,1.000000,0.207263,0.979688
342,0.000002,1.000000,0.245480,0.976562
343,0.000037,1.000000,0.234383,0.967187
344,0.000002,1.000000,0.262328,0.973437
345,0.000000,1.000000,0.390652,0.959375
346,0.000001,1.000000,0.160153,0.978125
347,0.000000,1.000000,0.095242,0.990625
348,0.000003,1.000000,0.100527,0.982812
349,0.000032,1.000000,0.098523,0.989062
350,0.000002,1.000000,0.107568,0.987500
351,0.000001,1.000000,0.152509,0.978125
